code,product_name,brands,countries,country_code,categories,created_t,last_modified_t,nutrition_grades,nova_group,nutriments.fat_100g,nutriments.sugars_100g,nutriments.salt_100g,nutriments.proteins_100g,nutriments.carbohydrates_100g,ingredients_text,additives_tags,additives_n,additives_list,nutrition_grade,nutrition_score,continent,created_year,ingredients_count
5411188112709,Geröstete Mandel Ohne Zucker,Alpro,"Albânia,Áustria,Bélgica,Croácia,Finlândia,França,Alemanha,Grécia,Hungria,República da Irlanda,Israel,Luxemburgo,Países Baixos,Noruega,Polónia,Portugal,Reunião,Roménia,Espanha,Suécia,Suíça,Reino Unido",fr,"en:Beverages and beverages preparations,Alimentos e bebidas à base de plantas,Bebidas,Alimentos à base de plantas,en:Dairy substitutes,Substitutos do leite,Nozes e seus produtos,Bebidas à base de plantas,Leites de planta,Leites de frutos secos,Bebidas de amêndoa",1427561633,1746218551,b,4.0,1.1,0.0,0.15,0.5,0.0,"Wasser, _Mandeln_ (2,3%), Calcium (Calciumcarbonat), Meersalz, Stabilisatoren (Guarkernmehl, Gellan), Emulgator (Lecithine), natürliches Aroma, Vitamine B12, D2, E.","['en:e322', 'en:e412', 'en:e418']",3.0,"['en:e322', 'en:e412', 'en:e418']",B,4.0,Europe,2015,12.0
20047238,,"Alesto,Alesto Lidl,Alesto Selection,Lidl","Belgija,Bugarska,Hrvatska,Češka,Francuska,Mađarska,Italija,Poljska,Rumunjska,Srbija,Španjolska,Švedska,Švicarska,Ujedinjeno Kraljevstvo",fr,"Biljne hrane i pića,Hranu biljnog podrijetla,Orasi i njihovi proizvodi,Orašasti plodovi,en:Mixed nuts",1423928064,1746115960,c,1.0,58.0,4.2,0.01,20.4,6.4,"25% орехи, 25% лешници, 25% кашу, 25% бланширани бадеми. Може да съдържа следи от други ядки и фъстъци. Натурален източник на омега-3 мастни киселини. Натурален източник на белтък.",[],0.0,[],C,3.0,Europe,2015,4.0
7394376616228,Oat Drink Barista Edition,Oatly,"An Fhraing,A' Ghearmailt,Poblachd na h-Èireann,An Rìoghachd Aonaichte",fr,"Beverages and beverages preparations, Plant-based foods and beverages, Beverages, Plant-based foods, Cereals and potatoes, Dairy substitutes, Cereals and their products, Milk substitutes, Plant-based beverages, Plant-based milk alternatives, Cereal-based drinks, Oat-based drinks",1536575797,1744561022,d,3.0,3.0,3.4,0.1,1.1,7.1,"water,  oats  10%, rapeseed oil, acidity regulator (dipotassium phosphate), minerals (calcium carbonate, potassium iodide), salt, vitamins (d2, riboflavin and b12),","['en:e340', 'en:e340ii']",1.0,"['en:e340', 'en:e340ii']",D,2.0,Europe,2018,10.0
6111203001467,margarine la prairie 225g,la Prairie,"France, Morocco, en:united-states",fr,"Plant-based foods and beverages, Plant-based foods, Fats, Spreads, Plant-based spreads, Spreadable fats, Vegetable fats, Margarines, en:salted-spreads",1520885552,1744961132,c,4.0,70.0,0.0,0.7,1.0,0.7,"Corps gras végétal, eau, sucre, sel, mono-diglycérides végétales, lécithine de soja, calcium, amidon, sorbate de potassium, antioxydant, acide citrique, arôme, β-carotène, 7 vitamines : A, B6, B2, B1, E, D et B12.","['en:e202', 'en:e322', 'en:e322i', 'en:e330']",3.0,"['en:e202', 'en:e322', 'en:e322i', 'en:e330']",C,3.0,Europe,2018,19.0
20005733,"Walnusskerne, angebrochen","Alesto,Lidl","Austrija,Belgija,Bugarska,Hrvatska,Danska,Francuska,Njemačka,Italija,Nizozemska,Poljska,Portugal,Rumunjska,Srbija,Španjolska",fr,"Biljne hrane i pića,Hranu biljnog podrijetla,Orasi i njihovi proizvodi,Orašasti plodovi,Oljušteni orasi,Orasi,Jezgre oraha",1401838212,1745703536,a,1.0,69.1,3.0,0.02,15.5,3.7,Walnusskerne.,[],0.0,[],A,5.0,Europe,2014,
8000500310427,Biscuits croquants au coeur onctueux de Nutella®,"Ferrero, Nutella","França,Alemanha,Itália,Marrocos,Portugal,Roménia,Espanha,Suíça",fr,"Biscoitos recheados, en:Biscuits/Cookies (Shelf Stable)",1548751374,1746108460,e,4.0,24.8,35.8,0.559,7.9,64.0,"Pâte à tartiner aux NOISETTES et au cacao 40% (sucre, huile de palme, NOISETTES 13%**, LAIT écrémé en poudre 8,7%**, cacao maigre 7,4%**, émulsifiants : lécithines [SOJA]; vanilline), farine de FROMENT 32,5%, graisses végétales (palme, palmiste), sucre de canne (contient BLE) 8,5%, LACTOSE, son de BLE, LAIT en poudre, miel, poudres à lever (diphosphate disodique, carbonate acide de sodium, carbonate acide d'ammonium), farine d'ORGE malté, cacao maigre en poudre, sel, extrait en poudre de malt d'ORGE et de maïs, amidon de FROMENT, émulsifiants: lécithines [SOJA]; vanilline.","['en:e322', 'en:e322i', 'en:e450', 'en:e450i', 'en:e500', 'en:e500ii', 'en:e503', 'en:e503ii']",5.0,"['en:e322', 'en:e322i', 'en:e450', 'en:e450i', 'en:e500', 'en:e500ii', 'en:e503', 'en:e503ii']",E,1.0,Europe,2019,27.0
7300400481595,Tartine croustillante Authentique,"Barilla, Wasa","France, Italy, Spain, Switzerland, en:reunion",fr,"Aliments et boissons à base de végétaux,Aliments d'origine végétale,Snacks,Céréales et pommes de terre,Pains,Pains croustillants,Pains croustillants complets",1436854915,1743536828,a,3.0,1.5,1.0,1.0,9.0,62.0,"Farine complète de SEIGLE (77 g*), farine de SEIGLE (28 g*), levure, sel. Peut contenir des traces de LUPIN, LAIT, MOUTARDE, GRAINES DE SÉSAME et SOJA. *en g pour 100 g de produit.",[],0.0,[],A,5.0,Europe,2015,7.0
3046920022651,70% Cacao noir intense,Lindt,"Algeria,Belgium,Czech Republic,France,Germany,Guadeloupe,Italy,Morocco,Réunion,Spain,Switzerland",fr,"Dairies,Fermented foods,Snacks,Sweet snacks,Cocoa and its products,Chocolates,Dark chocolates,Dark chocolate bar,Dark chocolate bar with more than 70% cocoa",1462636415,1744846710,e,3.0,41.0,30.0,0.1,9.5,34.0,"Pâte de cacao, sucre, beurre de cacao, vanille.

Peut contenir des fruits à coque, du lait, du soja et des graines de sésame.",[],0.0,[],E,1.0,Europe,2016,6.0
8052575090230,Nocciolata,Rigoni Di Asiago,"France, Switzerland, en:reunion",fr,"Petit-déjeuners,Produits à tartiner,Produits à tartiner sucrés,Pâtes à tartiner,Pâtes à tartiner aux noisettes,Pâtes à tartiner au chocolat,Pâtes à tartiner aux noisettes et au cacao",1678732909,1743323294,e,4.0,32.0,51.0,0.125,8.1,54.0,"raw sugar, hazelnut paste 18,5%, sunflower oil, skimmed milk powder, low-fat cocoa powder 6,5%, cocoa butter, emulsifier: soy lecithin, vanilla extract","['en:e322', 'en:e322i']",1.0,"['en:e322', 'en:e322i']",E,1.0,Europe,2023,10.0
3608580065340,Pâte à tartiner noisettes et cacao,Bonne Maman,France,fr,"Breakfasts,Spreads,Sweet spreads,fr:Pâtes à tartiner,Hazelnut spreads,Chocolate spreads,Cocoa and hazelnuts spreads",1629724463,1737562268,e,4.0,34.0,51.0,0.1,6.7,53.0,"sucre, _noisettes_ 20%, huiles végétales (tournesol, colza), _lait_ écrémé en poudre, cacao maigre en poudre 5,5%, beurre de cacao, émulsifiant : lécithine de tournesol, extrait de vanille, Peut contenir d'autres _fruits à coque_,","['en:e322', 'en:e322i']",1.0,"['en:e322', 'en:e322i']",E,1.0,Europe,2021,12.0
